mine_id,status,total_excavated_area_m2,max_area_m2,zone_type
mine_0007,LEGAL,287356.0,5375402.8125,LEGAL
mine_0013,LEGAL,72466.89580000001,3585552.215700001,LEGAL
mine_0033,LEGAL,247661.44000000018,1564006.9632000003,LEGAL
mine_0035,LEGAL,342762.62399999984,2158522.3423999995,LEGAL
mine_0036,LEGAL,90357.18070000014,1491396.3905,LEGAL
mine_0044,LEGAL,822868.3871999998,1531107.1295999996,LEGAL
mine_0045,LEGAL,570795.2523,1556210.2374,LEGAL
mine_0046,LEGAL,4912.7615999998525,1453279.6336000003,LEGAL
mine_0048,LEGAL,1831438.3814999992,8895430.325600002,LEGAL
mine_0063,LEGAL,455667.8687999998,1818212.1679999996,LEGAL
mine_0066,LEGAL,3560.7357,2419439.7114000004,LEGAL
mine_0067,LEGAL,2097.152,1601830.912,LEGAL
mine_0080,LEGAL,432272.5,1800343.875,LEGAL
mine_0092,LEGAL,625904.6399999997,5570535.6899999995,LEGAL
mine_0101,LEGAL,311108.19109999994,1970260.3047000002,LEGAL
mine_0103,LEGAL,417552.2207999998,1613671.4879999997,LEGAL
mine_0105,LEGAL,4073.0500000000466,1615139.8875,LEGAL
mine_0117,LEGAL,382056.75,2845651.5,LEGAL
mine_0118,LEGAL,67278.41999999969,1667487.6899999997,LEGAL
mine_0134,LEGAL,1641436.9664000007,5505252.140800001,LEGAL
mine_0158,LEGAL,1501870.0199999996,5527880.39,LEGAL
mine_0188,LEGAL,981300.4824,2664555.1928,LEGAL
mine_0214,LEGAL,637611.7650000001,3689772.8150000004,LEGAL
mine_0221,LEGAL,543942.3455999999,1761196.7375999996,LEGAL
mine_0222,LEGAL,2326.8656,2236374.1912000002,LEGAL
mine_0223,LEGAL,126692.91,3429385.4925,LEGAL
mine_0226,LEGAL,4650.256799999999,1784972.5487999998,LEGAL
mine_0227,LEGAL,56167.554599999996,4402748.333699999,LEGAL
mine_0229,LEGAL,3707.028,1572143.4459,LEGAL
mine_0230,LEGAL,27437.624999999993,4779350.437499999,LEGAL
mine_0232,LEGAL,10925.5104,1650080.5272,LEGAL
mine_0255,LEGAL,68541.65999999992,2152778.76,LEGAL
mine_0278,LEGAL,1415588.6591999999,1916595.3024,LEGAL
mine_0279,LEGAL,1466550.1791,1711670.2767,LEGAL
mine_0280,LEGAL,590740.7540000001,1641654.7812,LEGAL
mine_0289,LEGAL,498009.88309999986,1690199.8501999998,LEGAL
mine_0290,LEGAL,869806.35,2149501.2525,LEGAL
mine_0291,LEGAL,1278774.5599999998,1751902.8799999997,LEGAL
mine_0296,LEGAL,595431.0802999998,1583909.8638999998,LEGAL
mine_0301,LEGAL,1350711.5727,1833113.8581,LEGAL
mine_0302,LEGAL,1062477.7310000001,1768116.4802,LEGAL
mine_0304,LEGAL,2232246.0992000005,4349966.1036,LEGAL
mine_0305,LEGAL,809315.3158999999,2609645.8318,LEGAL
mine_0308,LEGAL,1517586.8399999996,3510086.58,LEGAL
mine_0313,LEGAL,1007990.5571999999,1673344.0079999997,LEGAL
mine_0316,LEGAL,182121.49349999987,1439451.2267999998,LEGAL
mine_0324,LEGAL,789830.4512000001,3069225.7792000007,LEGAL
mine_0326,LEGAL,709767.4364000001,5591545.105200001,LEGAL
mine_0327,LEGAL,16472.780799999997,3028087.4176,LEGAL
mine_0342,LEGAL,25238.336399999913,2664385.4475000002,LEGAL
mine_0344,LEGAL,117922.2435999997,4912260.4762,LEGAL
mine_0349,LEGAL,264651.71199999994,1301732.1600000001,LEGAL
mine_0351,LEGAL,215504.76,1769705.4784,LEGAL
mine_0354,LEGAL,188256.17000000016,1539444.6660000002,LEGAL
mine_0357,LEGAL,100105.26500000013,2257444.335,LEGAL
mine_0376,LEGAL,728960.3685000003,5053654.9503,LEGAL
mine_0407,LEGAL,997733.75,2168586.875,LEGAL
mine_0415,LEGAL,2932205.7775999997,4569819.1968,LEGAL
mine_0439,LEGAL,817253.7813000001,1549237.5873000002,LEGAL
mine_0447,LEGAL,404293.6442999998,4582203.5322,LEGAL
mine_0462,LEGAL,126133.57920000004,4030512.6985,LEGAL
mine_0466,LEGAL,901457.0943999997,2332238.2271999996,LEGAL
mine_0475,LEGAL,3507.2907999999998,2092184.6451999997,LEGAL
mine_0488,LEGAL,857156.2767999996,3192358.4335999996,LEGAL
mine_0502,LEGAL,128055.72999999952,5058742.540000001,LEGAL
mine_0504,LEGAL,8073.0832000002265,5121556.219500001,LEGAL
